date,strategy,symbol,event,side,price,entry_price,signed_weight,stop_level,take_level,stop_pct,take_pct,trailing_pct
2026-09-11,V12_LS_50_50_StopVol,FARTCOIN,STOP_INTRADAY,SHORT,0.15296191596808578,0.1381,-0.027876621082346332,0.15296191596808578,0.08856028010638069,,,
2026-09-11,V12_LS_50_50_StopVol,NEAR,ENTRY,LONG,2.441,2.441,0.040441961738532636,,,0.12363396296960684,0.24726792593921368,0.0741803777817641
2026-09-11,V12_LS_50_50_StopVol,ZEN,ENTRY,LONG,6.527,6.527,0.030018526792872542,,,0.16656380356371042,0.33312760712742084,0.09993828213822625
2026-09-11,V12_LS_70_30,BEAT,STOP_INTRADAY,SHORT,0.094625,0.1319,-0.03,0.094625,0.03957,,,
2026-09-11,V12_LS_70_30,CASHCAT,ENTRY,SHORT,0.16376,0.16376,-0.03,,,0.35,0.7,0.2195003128609509
2026-09-11,V12_LS_70_30,DOT,STOP_INTRADAY,LONG,1.041885316446701,1.1212,0.06999999999999999,1.041885316446701,1.4141523314166562,,,
2026-09-11,V12_LS_70_30,EDEN,ENTRY,SHORT,0.0492,0.0492,-0.03,,,0.35,0.7,0.2163431885804232
2026-09-11,V12_LS_70_30,FARTCOIN,ENTRY,SHORT,0.1381,0.1381,-0.03,,,0.17936176645046817,0.35872353290093634,0.10761705987028089
2026-09-11,V12_LS_70_30,FARTCOIN,STOP_INTRADAY,SHORT,0.15296191596808578,0.1381,-0.03,0.15296191596808578,0.08856028010638069,,,
2026-09-11,V12_LS_70_30,NEAR,ENTRY,LONG,2.441,2.441,0.06999999999999999,,,0.12363396296960684,0.24726792593921368,0.0741803777817641
2026-09-11,V12_LS_70_30,ZEN,ENTRY,LONG,6.527,6.527,0.06999999999999999,,,0.16656380356371042,0.33312760712742084,0.09993828213822625
2026-09-11,V12_LS_70_30_StopVol,BEAT,STOP_INTRADAY,SHORT,0.094625,0.1319,-0.008708210091935934,0.094625,0.03957,,,
2026-09-11,V12_LS_70_30_StopVol,CASHCAT,ENTRY,SHORT,0.16376,0.16376,-0.008200443892488958,,,0.35,0.7,0.2195003128609509
2026-09-11,V12_LS_70_30_StopVol,DOT,STOP_INTRADAY,LONG,1.041885316446701,1.1212,0.05349653185352761,1.041885316446701,1.4141523314166562,,,
2026-09-11,V12_LS_70_30_StopVol,EDEN,ENTRY,SHORT,0.0492,0.0492,-0.008320114036457726,,,0.35,0.7,0.2163431885804232
2026-09-11,V12_LS_70_30_StopVol,FARTCOIN,ENTRY,SHORT,0.1381,0.1381,-0.016725972649407797,,,0.17936176645046817,0.35872353290093634,0.10761705987028089
2026-09-11,V12_LS_70_30_StopVol,FARTCOIN,STOP_INTRADAY,SHORT,0.15296191596808578,0.1381,-0.016725972649407797,0.15296191596808578,0.08856028010638069,,,
2026-09-11,V12_LS_70_30_StopVol,NEAR,ENTRY,LONG,2.441,2.441,0.05661874643394568,,,0.12363396296960684,0.24726792593921368,0.0741803777817641
2026-09-11,V12_LS_70_30_StopVol,ZEN,ENTRY,LONG,6.527,6.527,0.04202593751002155,,,0.16656380356371042,0.33312760712742084,0.09993828213822625
