timestamp,open,high,low,close,volume,symbol,interval,source
2026-03-07T17:00:00Z,67783.63000000,67935.01000000,67768.97000000,67788.41000000,217.68104000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T18:00:00Z,67788.40000000,67788.41000000,67480.00000000,67568.13000000,1180.24782000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T19:00:00Z,67568.13000000,67572.35000000,66915.26000000,67080.34000000,1312.23020000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T20:00:00Z,67080.33000000,67437.50000000,67068.01000000,67402.98000000,590.47118000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T21:00:00Z,67402.98000000,67483.05000000,67281.34000000,67452.98000000,638.99995000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T22:00:00Z,67452.97000000,67469.87000000,67101.31000000,67258.65000000,706.81324000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T23:00:00Z,67258.65000000,67403.85000000,67183.39000000,67262.91000000,394.96477000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T00:00:00Z,67262.91000000,67481.96000000,67181.04000000,67194.77000000,552.27054000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T01:00:00Z,67194.77000000,67353.57000000,67090.00000000,67297.27000000,565.85563000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T02:00:00Z,67297.27000000,67426.52000000,66833.58000000,66925.44000000,765.90711000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T03:00:00Z,66925.45000000,67083.10000000,66850.00000000,67000.26000000,999.40624000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T04:00:00Z,67000.26000000,67100.01000000,66547.15000000,66637.36000000,1206.88314000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T05:00:00Z,66637.35000000,67250.24000000,66617.76000000,67149.93000000,402.00353000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T06:00:00Z,67149.93000000,67231.86000000,67035.18000000,67161.52000000,246.63235000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T07:00:00Z,67161.52000000,67465.11000000,67154.91000000,67319.91000000,1010.57902000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T08:00:00Z,67319.90000000,67577.36000000,67156.93000000,67539.33000000,1008.62460000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-08T09:00:00Z,67539.34000000,67905.03000000,67474.00000000,67681.00000000,1111.87857000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
