family,asset,param,horizon,qualified,reasons,n,net,stress,delay,top5,sample
H160,WDO,z1.0_inverse,120,False,SIDES|CALENDAR,201,2.6909602014800256,1.6909602014800262,3.062735494683675,0.14996283418990317,REPLICATION
H160,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,201,-6.046887401698191,-7.046887401698193,-5.114857615693865,0.17862859571507128,REPLICATION
H160,WDO,z1.0_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,201,-5.690960201480026,-6.690960201480026,-6.062735494683675,0.15627035605949186,REPLICATION
H160,WDO,z1.5_inverse,60,True,,93,9.552296434559345,8.552296434559345,6.864743516578353,0.21789540545835484,REPLICATION
H160,WDO,z1.5_inverse,120,False,SIDES,93,8.438256342791249,7.43825634279125,10.066248177978656,0.228016059108989,REPLICATION
H160,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,93,-12.552296434559345,-13.552296434559345,-9.864743516578354,0.38750473833110843,REPLICATION
H160,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,93,-11.43825634279125,-12.43825634279125,-13.066248177978657,0.33229942734872187,REPLICATION
H160,WIN,z1.0_inverse,60,False,CALENDAR,201,1.8753884546078725,0.875388454607873,0.7921894547454539,0.12295922849258953,REPLICATION
H160,WIN,z1.0_inverse,120,False,SIDES|CALENDAR,201,3.6064705570917286,2.606470557091728,4.6716946133866,0.18025530593776823,REPLICATION
H160,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,201,-5.875388454607872,-6.875388454607872,-4.792189454745453,0.19787025160248378,REPLICATION
H160,WIN,z1.0_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,201,-7.606470557091729,-8.606470557091729,-8.6716946133866,0.17710946551050308,REPLICATION
H160,WIN,z1.5_inverse,60,False,CALENDAR,93,2.4133205592830893,1.4133205592830895,3.7721223438784026,0.21673906516638203,REPLICATION
H160,WIN,z1.5_inverse,120,False,EDGE|STRESS|SIDES|CALENDAR,93,-2.7133235770125546,-3.7133235770125546,2.6134067799298144,0.2803363039096489,REPLICATION
H160,WIN,z1.5_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,93,-6.413320559283089,-7.413320559283089,-7.7721223438784035,0.3447281715824696,REPLICATION
H160,WIN,z1.5_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,93,-1.2866764229874474,-2.2866764229874463,-6.613406779929817,0.2882806690989065,REPLICATION
H162,WDO,z1.0_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,1,55.91857478210876,54.91857478210876,32.30915432978138,1.0,DISCOVERY
H162,WDO,z1.0_inverse,120,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,1,23.107259239669553,22.107259239669553,-0.5861060389357728,1.0,DISCOVERY
H162,WDO,z1.0_stress,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,1,-58.91857478210876,-59.91857478210876,-35.30915432978138,1.0,DISCOVERY
H162,WDO,z1.0_stress,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,1,-26.107259239669553,-27.107259239669553,-2.413893961064227,1.0,DISCOVERY
H162,WIN,z1.0_inverse,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,1,93.15989408290126,92.15989408290126,39.116805940080155,1.0,DISCOVERY
